qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_Hostile_Settlements:|Villages hostiles : {reg0}
qstr_Friendly_Lords:_{reg|Seigneurs amis : {reg0}
qstr_Enemy_Lords:_{reg0}|Seigneurs ennemis : {reg0}
qstr_Victories:_{reg0}|Victoires : {reg0}
qstr_Defeats:_{reg0}|Défaites : {reg0}
qstr_Quests_Completed:_{r|Quêtes accomplies : {reg0}
qstr_Companions_Found:_{r|Compagnons trouvés : {reg0}
qstr_Companions_Lost/Depa|Compagnons perdus/partis : {reg0}
qstr_Wealth:_{reg0}_denar|Fortune : {reg0} deniers
qstr_Inventory:_{reg0}_de|Inventaire : {reg0} deniers
qstr_Renown:_{reg0}|Renommée : {reg0}
qstr_Experience:_{reg0}|Expérience : {reg0}
qstr_Days_Passed:_{reg0}|Jours écoulés : {reg0}
qstr_Difficulty:_{reg0}%|Difficulté : {reg0}%
qstr_TOTAL_SCORE:_{reg0}|SCORE TOTAL : {reg0}
qstr_{s0}__{s50}_|{s0} ({s50})
qstr_None|Rien
qstr_{s55}__{reg0}%_|{s55} ({reg0}%)
qstr_{s55}|{s55}
qstr_Wages_for_your_Shipc|Salaire de vos marins
qstr_Staff:|Équipe :
qstr_Tributes_from_your_n|Contributions de vos nobles :
qstr_You_paid_{reg0}_cash|Vous payez {reg0} en espèces pour liquider une dette
qstr_Earlier_cash:|Liquidités antérieures :
qstr_New_cash:|Nouvelles liquidités :
qstr_Done|Quitter
qstr_Name:_{s1}^Level:_{r|Nom : {s1}^Niv : {reg1}
qstr_{s1}^HP:_{reg1}/{reg|{s1}^PV : {reg1}/{reg2}
qstr_{s1}|{s1}
qstr_Weapon_upgrade_setti|Options d'amélioration des armes :
qstr_Apply_to_everyone|Appliquer à tous
qstr_Upgrade_armor_|Améliorer l'armure 
qstr_Upgrade_horse_|Améliorer le cheval 
qstr_Price_threshold_of_i|Seuil de prix des articles à récupérer :
qstr_Select_your_domestic|Choisir sa politique intérieure
qstr_Centralization:|Centralisation :
qstr_Aristocracy:|Aristocratie :
qstr_Serfdom:|Servage :
qstr_Troop_quality:|Qualité troupes :
qstr_Mercantilism:|Mercantilisme :
qstr_High_centralization_|Élevée, réduira l'inefficacité des impôts pour le monarque et augmentera pour les vassaux. Influence les relations monarque/vassaux.
qstr_High_aristocracy_wil|Importante, permettra d'améliorer les relations monarque/vassaux, + d'armées pour les vassaux mais cela diminuera le commerce.
qstr_High_serfdom_reduces|Élevée, le servage réduira l'inefficacité des impôts pour le monarque et ses vassaux pour + de troupes mais avec un moral en baisse.
qstr_High_troop_quality_i|Une grande qualité des troupes augmentera la résistance des soldats mais limitera leur nombre.

qstr_Cancel|Annuler
qstr_Dictate_the_peace_te|Dicter les conditions de la paix
qstr_Select_the_castle_an|Sélectionner le château et le montant, et cocher les cases pour activer la demande. Les demandes sont combinées si deux cases sont cochées.
qstr_1000_denars|1000 deniers
qstr__Faction_Relations_R|Rapport relations entre factions
qstr__Return_to_menu_| Retour menu
qstr_Your_kingdom|Votre royaume
qstr_Player^Relation|Relation^Joueur
qstr_War|Guerre
qstr_Casus_Belli|Suspicion
qstr_Peace|Paix
qstr_Truce|Trêve
qstr_Alliance|Alliance
qstr_Defense|Pacte défensif
qstr_Trade|Accord commercial
qstr_{reg59?{reg59}_days:|{reg59?{reg59} jours:}
qstr_{reg61}|{reg61}
qstr_{s9}|{s9}
qstr_Loyal|Idéale
qstr_Devoted|Exceptionnelle
qstr_Fond|Excellente
qstr_Gracious|Très bonne
qstr_Friendly|Amicale
qstr_Supportive|Cordiale
qstr_Favorable|Favorable
qstr_Cooperative|Coopérative
qstr_Accepting|Tolérante
qstr_Indifferent|Neutre
qstr_Suspicious|Mitigée
qstr_Grumbling|Tendue
qstr_Hostile|Hostile
qstr_Resentful|Rancunière
qstr_Angry|Agressive
qstr_Hateful|Haineuse
qstr_Revengeful|Exécrable
qstr_Vengeful|Atroce
qstr_{reg1}|{reg1}
qstr_{s3}|{s3}
qstr_{reg61}_{reg58?_{reg|{reg61} {reg58?({reg58} U) :}Fiefs
qstr_{reg62}_Caravans|{reg62} Caravanes
qstr_{reg60}_{reg59?_{reg|{reg60} {reg59?({reg59} P) :}Seigneurs
qstr_How_will_your_male_v|Comment vos vassaux devront être connus ?
qstr_How_will_your_female|Comment vos vassales devront être connues ?
qstr_Use_the_Titles_Enter|Utiliser les titres saisis.
qstr_Use_Default_Titles__|Utiliser les titres par défaut (Seigneur/Noble Dame).
qstr_Sell_items_automatic|Vendre des articles automatiquement en quittant :
qstr_Price_limit_for_auto|Limite de prix pour la vente auto :
qstr_Item_types_for_auto_|Types d'articles pour la vente auto :
qstr_Select_all|Tout sélectionner
qstr_Select_invert|Sélection inverse
qstr_{s1}^HP:_{reg0}|{s1}^PV : {reg0}
qstr_Attributes:|Attributs :
qstr_{s3}^STR:_{reg1}^INT|{s3}^FOR : {reg1}^INT : {reg2}^^Compétences :
qstr_{s3}^Power_Strike:_{|{s3}^Puissance coup : {reg1}^Puissance tension : {reg2}^Puissance jet : {reg3}^Archerie montée : {reg4}^^Compétences armes :
qstr_{s3}^1_Hand_Wpns:_{r|{s3}^Armes 1 main : {reg1}^Armes 2 mains : {reg2}^Armes d'hast: {reg3}
qstr_{s4}^AGI:_{reg1}^CHA|{s4}^AGI : {reg1}^CHA : {reg2}^^
qstr_{s4}^Ironflesh:_{reg|{s4}^Vigueur : {reg1}^Athlétisme : {reg2}^Bouclier : {reg3}^Cavalerie : {reg4}^^
qstr_{s4}^Archery:_{reg1}|{s4}^Archerie : {reg1}^Arbalète : {reg2}^Jet : {reg3}
qstr_{s4}|{s4}
qstr_Equipments:_|Équipements : 
qstr_One_Handed_Weapons|Armes 1 main
qstr_Two_Handed_Weapons|Armes 2 main
qstr_Polearms|Armes d'hast
qstr_Ranged_Weapons|Armes à distance
qstr_Shields|Boucliers
qstr_Helmets|Casques
qstr_Armors|Armures
qstr_Boots|Bottes
qstr_Gauntlets|Gants
qstr_Horses|Chevaux
qstr_Please_reselect_a_co|Sélectionner un compagnon en tant que commandant pour la bataille à venir.^^Actuellement : {s0}.
qstr_Arms:|Armes :
qstr_{s2}^None|{s2}^Rien
qstr_{s2}^{s3}|{s2}^{s3}
qstr_{s2}^{s4}{s3}|{s2}^{s4}{s3}
qstr_{s2}^^Outfits:|{s2}^^Protections :
qstr_{s2}^^Horse:|{s2}^^Cheval :
qstr_{s2}|{s2}
qstr_{reg1}^money_in_the_|{reg1}^argent dans le coffre
qstr_{reg2}^money_in_your|{reg2}^argent dans votre inventaire
qstr_Withdraw|Retirer
qstr_Deposit|Déposer
qstr_Record_Battle_Size_a|Taille des batailles :
qstr_The__Weapon_Use_Fixe|^Modification décision des compagnons.^Pour les caractéristiques suivantes. ^Décochez les cases si vous n'en voulez pas.
qstr_Use_NPC_Lancer_Fix:|Utiliser Lancier NPC :
qstr_Use_NPC_Horse_Archer|Utiliser Archer monté NPC :
qstr_Use_NPC_Spear/Polear|Utiliser lance/Bras NPC :
qstr_Use_Pike/Horse_Damag|Utiliser Pique/Dommages cheval :
qstr_Distance_limit_for_s|Distance pour voir la barre des PV :
qstr_Show_health_bars_of_|Voir barre PV des alliés :
qstr_Show_health_bars_of_e|Voir barre PV des ennemis :
qstr_Show_battle_minimap:|Voir mini-carte des batailles :
qstr_Size_of_battle_minim|Taille mini-carte des batailles (%) :
qstr_Enable_Battle_Contin|Continuation de la bataille :
qstr_Batt._Cont._Charge_a|Batt. Cont., Charger après KO:
qstr_Formations_Battle_AI|IA Formations Batailles:
qstr_Enable_AI_to_use_Spe|Activer les ordres spéciaux pour l'IA :
qstr_Reassign_De_horsed_C|Réassigner Cavalerie démunie :
qstr_Reassign_No_Ammo_Arc|Réassigner Archers démunis :
qstr_Reinforcement_waves:|Vagues de renforts :
qstr_Report_shot_distance|Afficher le tir à distance :
qstr_Report_extra_XP_&_Wp|Annoncer extra XP et armes Prof :
qstr_Enable_Bodyguards_in|Activer Gardes du corps Villes/Villages :
qstr_Morale_threshold_for|Seuil moral/alimentation^Deux fois plus vite que la normale :
qstr_Speed_of_battles_on_|Vitesse des batailles sur la carte :
qstr_Skill_penalty_from_e|Pénalités pour encombrement :
qstr_Ranged_penalty_from_|Pénalités Tirs pour la météo :
qstr_Disable_horse_speed_|Désactiver vitesse chevaux :
qstr_Allow_drowning_in_mi|Autoriser noyade missions :
qstr_Terrain_advantage_in|Avantage de terrain en bataille auto :
qstr_Enable_Tournament_En|Activer les améliorations de tournoi :
qstr_Lords_returning_from|Seigneurs retournant d'exil :
qstr_Diplomacy_AI_changes|Modif. IA diplomacie :
qstr_Diplomacy_economic_c|Modif. IA économie :
qstr_Anti_woman_prejudice|Niveau de sexisme :
qstr_Enable_Fog_of_War:|Activer le brouillard de guerre :
qstr_Disable_Time_of_Day:|Désactiver l'heure
qstr_Probability_of_rain/|Probabilité de pluie/neige (%) :
qstr_Cloud_amount:|Couverture nuageuse :
qstr_Fog_strength:|Épaisseur du brouillard :
qstr_Disable_companions__|Désactiver les complaintes des compagnons :
qstr_Enable_debug_mode:|Activer mode debug :
qstr_Charge_All|Charger tout
qstr_Formations_AI|IA de formations
qstr_Native_AI_w/Formatio|IA native, avec Formations
qstr_Enabled|Activé
qstr_Frequent|Fréquent
qstr_Low|Bas
qstr_Medium|Moyen
qstr_High/Experimental|Haut/Experimental
qstr_Default|Par défaut
qstr_High|Haut
qstr_Floris_Mod^Options|Mod Floris^Options
qstr_About_morale_thresho|Seuil moral, si le moral de votre groupe est en dessous de cette valeur, la vitesse de la consommation d'aliments sera le double de la normale.
qstr_Restore_Defaults|Paramètres par défaut
qstr_Key_Settings|Configuration des touches
qstr_You_can_recruit_troo|Vous pouvez recruter des troupes, {s1}, pour {reg6?ce château:cette ville}. Cela coûtera {reg4} deniers et prendra un jour. Vous avez laissé ici {reg1} deniers (pour recruter {reg2} {reg3?fois:fois}) et vous avez {reg5} deniers dans vos coffres.
qstr_Decrease_times_of_re|Diminuer le nombre de recrutements
qstr_Increase_times_of_re|Augmenter le nombre de recrutements
qstr_Sovereign_color_of_t|Couleur de la faction {s0} :
qstr_Red:|Rouge :
qstr_Green:|Vert :
qstr_Blue:|Bleu :
qstr__| 
qstr_HTML_code:_{s0}|Code HTML : {s0}
qstr_Randomize|Aléatoire
qstr_{s1}_{reg3}/{reg2}_|{s1}({reg3}/{reg2})
qstr_{s1}_{reg2}_|{s1}({reg2})
qstr_Move_to_Top|Tout en haut
qstr_Move_Up|Haut
qstr_Move_Down|Bas
qstr_Move_to_Bottom|Tout en bas
qstr_Buy_foods_automaticl|Acheter automatiquement de la nourriture en quittant :
qstr_*|*
qstr_Character_Background|Personnage
qstr_Your_story:|Votre histoire :
qstr_Your_gender:|Votre sexe :
qstr_Your_father_was:|Votre père était :
qstr_You_spent_your_early|Jeune, vous étiez :
qstr_Later_you_became:|Plus tard, vous deveniez :
qstr_The_reason_for_an_ad|Motivation aventure :
qstr_female|Femme
qstr_male|Homme
qstr_a_thief|Un voleur
qstr_a_steppe_nomad|Un nomade des steppes
qstr_a_hunter|Un chasseur
qstr_a_veteran_warrior|Un guerrier vétéran
qstr_a_travelling_merchan|Un marchand itinérant
qstr_an_impoverished_nobl|Un noble appauvri
qstr_a_steppe_child|Un{reg3?e:} enfant des steppes
qstr_a_street_urchin|Un{reg3?e:} gamin{reg3?e:} des rues
qstr_a_shop_assistant|Assistant{reg3?e:} chez un marchand
qstr_a_craftsman_s_appren|Apprenti{reg3?e:} chez un artisan
qstr_a_page_at_a_nobleman|Page à la cour d'un noble
qstr_a_game_poacher|Braconni{reg3?ère:er}
qstr_a_smith|Forgeron{reg3?ne:}
qstr_a_goods_peddler|Colport{reg3?euse:eur}
qstr_a_university_student|Étudiant{reg3?e:}
qstr_a_troubadour|Troubadour
qstr_a_squire|Écuyer
qstr_a_lady_in_waiting|Dame de compagnie
qstr_lust_for_money_and_p|Soif d'argent et de pouvoir
qstr_being_forced_out_of_|Avoir été chassé{reg3?e:} de chez vous
qstr_wanderlust|L'appel de l'aventure
qstr_the_loss_of_a_loved_|La perte d'une personne chère
qstr_personal_revenge|Une vengeance personnelle
qstr_Conscript_quality:|Qualité des troupes :
qstr_{reg0}_denars|{reg0} deniers
qstr__Sovereignty_Relatio|Relations avec les factions 
qstr_Your_sovereignty|Votre faction
qstr__Courtships_in_progr|Courtoisies en cours 
qstr__Known_Lords_by_Rela|Seigneurs connus 
qstr__Character_&_Compani|Héros et Compagnons 
qstr__Done_|Continuer 
qstr_Your_supporters|Vos alliés
qstr_Swadians|Swadiens
qstr_Vaegirs|Vaegirs
qstr_Khergits|Khergits
qstr_Nords|Nords
qstr_Rhodoks|Rhodoks
qstr_Sarranids|Sarranides
qstr_All_Sovereignties|Toutes Factions
qstr__Back_to_shop_| Retour mag 
qstr_Strength|Force
qstr_Riding|Équit
qstr_Pdraw|Tir
qstr_Pthrow|Jet
qstr_1_hand|1-Main
qstr_2_hand|2-Mains
qstr_Polearm|Bras
qstr_Archery|Archerie
qstr__X_bow_| Arb 
qstr_Throwing_|Lancer 
qstr___Firearms|  Feu
qstr__Mode| Mode
qstr__to_next_lvl_|(Niv suiv)
qstr__1.3_| 1.3 
qstr_If_you_can_see_this_|Si vous voyez cela, achetez un nouveau cpu.
qstr___Weapons_| -Armes-
qstr___Armor_| -Armure-
qstr_________________n/a_|                n/a                
qstr_Rides|Monté
qstr_Walks|Sol
qstr_Startpage_set__Quick|Page d'accueil (Vue rapide)
qstr_Back_to_shop|Retour mag
qstr__[?]_| [?] 
qstr_Hotkeys:^HOME_=_Set_|Racourcis :^DÉBUT = Page de départ^ClicD = Retour menu^ECHAP = Vue rapide^RETARR = Retour mag (si vous y étiez)
qstr___Quit2__|- Quit2 -
qstr__Quick_View_| Vue rapide 
qstr_______|      
qstr_Attributes|Attributs
qstr_Skills|Talents
qstr_Proficiencies|Compétences
qstr_STR:|FOR :
qstr_AGI:|AGI :
qstr_INT:|INT :
qstr_CHA:|CHA :
qstr_Health:|Santé :
qstr_Level:|Niv :
qstr_To_next_lvl:_|Niv Suiv : 
qstr_Ironflesh^Power_Stri|Vigueur^Puissance de frappe^Puissance de jet^Puissance de tension^Maître d'armes^Bouclier^Athlétisme^Équitation^Archerie monté^Pillage^Mentor^Pistage^
qstr_Tactics^Path_finding|Tactique^Déplacement^Repérage^Gestion inventaire^Guérison^Chirurgie^Premiers soins^Ingénierie^Persuasion^Gestion prisonniers^Commandement^Marchandage
qstr_10|10
qstr_One_Handed_Weapons:^|Armes à une main :^^Armes à deux mains :^^Armes d'hast :^^Arcs :^^Arbalètes :^^Armes de jet :^^Armes à feu :
qstr_350^^350^^350^^350^^|350^^350^^350^^350^^350^^350^^350
qstr__{reg1}_| {reg1} 
qstr__100%__| 100%  
qstr__30_| 30 
qstr__3333333333_| 3333333333 
qstr__Weapons_|-Armes-
qstr__Armor_|-Armure-
qstr_n/a_________________|n/a                                
qstr_{s9}_feels...|{s9} s'estime...
qstr_{s6}|{s6}
qstr_your_choice_of_compa|votre choix de compagnons,
qstr_{s7}|{s7}
qstr_your_style_of_leader|votre style de commandement et...
qstr_{s8}|{s8}
qstr_the_general_state_of|l'état général des affaires.^------------------------------
qstr_Morale:_____________|Moral :                       ^^Genèse :          
qstr_State:______________|État :                       
qstr_Startpage_set__Exten|Page principale (Vue étendue)
qstr_How_will_your_male_v|Vos vassaux masculins ?
qstr_How_will_your_female|Vos vassaux féminins ?
qstr_Default_title.|Titre par défaut
qstr_Set_Custom_Titles.|Définir titres perso
qstr_Use_fief_based_title|Utiliser titres par fiefs
qstr_What_will_your_party|Votre compagnie ?
qstr_By_the_name_entered_|Par le nom entré ci-dessus.
qstr_Simply_by_my_name:_{|Simplement par mon nom : {s5}.
qstr__{s2}_siege_camp.| {s2} camp du siège.
qstr__Continue_| Continuer 
qstr_Manage_Ship|Gérer bateau
qstr_Select_ship:|Sélectionner bateau:
qstr_Name_your_ship:|Nommer bateau:
qstr_Rename_Ship.|Renommer bateau.
qstr_Send_ship_to_port:|Envoyer le bateau au port
qstr_Verify.|Vérifier.
qstr_Manage_the_crew.|Gérer l'équipage
qstr_View_the_ship_regist|Voir le registre de bateau
qstr_This_is_your_ship__{|Voici votre bateau, '{s13}'. L'équipage est actuellement composé de {reg7} hommes.^^
qstr_Make_sure_you_select|Assurez-vous de sélectionner un bateau
qstr_Your_ship_{s15}_succ|Votre bateau a bien pris le large pour {s16}.
qstr_Make_sure_a_ship_is_|Assurez-vous de sélectionner un bateau, qu'il possède un équipage suffisant et qu'il y ait la place dans le port de destination pour amarrer
qstr_Choose_how_many_acre|Ectares vous à vendre :
qstr_Choose_how_many_acres|Ectares à acheter :
qstr_Verify|Vérifier
qstr_Choose_how_much_mone|Choisissez quelle quantité d'argent vous souhaitez emprunter :
qstr_Buy_and_prepare_uncu|Acheter et préparer la terre incultivée :
qstr_Pay_off_your_debt_:|Rembourser votre dette :
qstr_{reg5}|{reg5}
qstr_You_cant_sell_0_acre|Vous ne pouvez pas vendre 0 ectare!
qstr_You_cant_buy_0_acres|Vous ne pouvez pas acheter 0 ectare!
qstr_{reg6}|{reg6}
qstr_You_cant_borrow_0_de|Vous ne pouvez pas emprunter 0 denier!
qstr_{reg7}|{reg7}
qstr_{reg8}|{reg8}
qstr_You_cant_pay_back_0_|Vous ne pouvez pas rembourser 0 ectare!
qstr_Town|Ville
qstr_Acres|Ectares
qstr_Owned|Possédé
qstr_Balance|Balance
qstr_Assets|Avoirs
qstr_Debt|Dette
qstr_Deadline|Deadline
qstr_{reg2}|{reg2}
qstr_{reg3}|{reg3}
qstr_{reg4}|{reg4}
qstr_Merchant_Ledger|Livre de marchand
qstr_____Assessed_Profit_|    Profit estimé par nom
qstr_{s0}_products_from_{|{s0}, produit de {s1}:
qstr_^{s1}_sold_in_{s2}_w|^{s1} vendu à {s2} rapporterait {reg0} deniers.{s3}
qstr___Assessed_Profit_by|  Profit estimé par date
qstr_^{s1}_sold_in_{s2}_wo|^{s1} vendu à {s2} rapporterait {reg0} deniers (à partir de {s0}).{s3}
qstr_Production_in_{s1}|Production à {s1}
qstr_Assessed_Profit_by_T|Profit estimé par ville de production
qstr_^{s1}_purchased_in_{|^{s1} acheté à {s2} rapporterait {reg0} deniers (à partir de {s0}).{s3}
qstr_Demand_in_{s1}|Demande à {s1}
qstr_Assessed_Profit_by_To|Profit estimé par ville en demande
qstr_^Buy_in:_{s1}___sell|^Acheter à: {s1} - vendre à: {s2} pour {reg0} deniers de profit (à partir de {s0}).{s3}
qstr_Supply_and_Demand_of|Réserves et demande de {s1}
qstr_____Assessed_Profit_b|    Profit estimé par produit
qstr_Trim_ledger_entries_|Filtrer entrées plus anciennes que:                jours:
qstr_Remove_entries.|Retirer entrée
qstr_Trim_ledger_entries_c|Filtrer les entrées avec le produit suivant:
qstr_Use_slider_to_choose|Utilisez le curseur pour sélectionner l'objet
qstr_Trim_ledger_entries_f|Filtrer les entrées pour les produits liés à cette ville:
qstr_Use_slider_to_choose_|Utilisez le curseur pour sélectionner la ville
qstr_Remove_entries__Prod|Retirer entrée (Production)
qstr_Remove_entries__Dema|Retirer entrée (Demande)
qstr_Trim_ledger_entries_w|Filtrer les entrées dont le revenu est inférieur à:              deniers.
qstr____________Log_Entry|           Options des entrées
qstr_Add_Note|Ajouter une note
qstr_Clear_Notes|Supprimer les notes
qstr_Use_a_/\__caret__for|Utilisez un /\ (accent circonflexe) pour passer à la ligne.
qstr_Chronological_Log|Log chronologique
qstr_Production_Towns|Villes de production
qstr_Purchasing_Towns|Villes clientes
qstr_Trade_Goods|Échanger des biens
qstr_Manage_Ledger|Gérer le livre de marchand
qstr_{s1}^+{s0}|{s1}^+{s0}
qstr_{reg0}_entries_remov|{reg0} entrées supprimées du livre de marchand
qstr_Plan_Deployment|Plan de déploiement
qstr_You_will_have_{reg1}|Vous aurez {reg1} troupes en état de combattre au début de la bataille
qstr_Troop|Troupe
qstr_#_at_start__/_#_in_p|# au début  / # dans le groupe
qstr_/_{reg0}|/ {reg0}
qstr_{reg0}|{reg0}
qstr_of_{reg0}_troops|de {reg0} troupes
qstr_Ready_Troops|Troupes prêtes
qstr_Reassess|Réexaminer
qstr_Scrap_All|Tout à 0
qstr_Too_many_troops^Chec|Trop de troupes^Vérifier la validé du nombre
qstr_Initial|Initial
qstr_Movement_1|Mouvement 1
qstr_Movement_2|Mouvement 2
qstr_Formation|Formation
qstr_Attack|Attaque
qstr_Weapon_Type|Type arme
qstr_Shield|Bouclier
qstr_Skirmish|Escarmouche
qstr_Hold_Position|Maintenir position
qstr_Back_10|Recul de 10
qstr_Forward_10|En avant de 10
qstr_Repeat_x|Répéter x
qstr_Square|En carré
qstr_Wedge|En pique
qstr_Shieldwall|Mur-Bouclier
qstr_Ranks|En lignes
qstr_Ranged|À distance
qstr_Two_Handed|2 mains
qstr_One_Handed|1 main
qstr_No_Shields|Pas de bouclier
qstr_Use_Shields|Utiliser bouclier
qstr_Avoid_Melee|Éviter mêlée
qstr_Turn_to_weapon_order|Ordres pour les armes...
qstr_Prepare_Orders|Préparation Ordres
qstr_Dispatch_Orders|Envoi Ordres
qstr_...Turn_to_positioni|...Ordres de position
qstr_Record_Battle_Size_as|Option taille des batailles
qstr_Enable_ranged_penalt|Activer les pénalités de portée de la météo
qstr_Disable_Companions__|Désactiver complaintes Compagnons:
qstr_Enable_the_cheat_men|Activer le menu cheat:
qstr_PBOD_Mod^Options|PBOD Mod^Options
qstr_OK|OK
qstr_Mod_Options|Options Mod
qstr_Press_a_key|Appyer sur une touche
qstr_{s10}___Formation_ty|{s10} - Type de formation
qstr_{s11}___Weapon_order|{s11} - Armes
qstr_{s12}___Shield_order|{s12} - Bouclier
qstr_{s13}___Attack_order|{s13} - Attaque
qstr_{s10}___Ranks|{s10} - Rangs
qstr_{s11}___Shieldwall|{s11} - Mur-Bouclier
qstr_{s12}___Wedge|{s12} - En triangle
qstr_{s13}___Square|{s13} - En carré
qstr_{s14}___No_Formation|{s14} - Pas de formation
qstr_{s15}___Escape_Menu|{s15} - Menu de fuite
qstr_{s11}___One_Handers|{s11} - Armes à 1 m
qstr_{s12}___Two_Handers|{s12} - Armes à 2 m
qstr_{s13}___Polearms|{s13} - Armes d'hast
qstr_{s14}___Ranged|{s14} - A distance
qstr_{s11}___Use_Shields|{s11} - Utiliser bouclier
qstr_{s12}___No_Shields|{s12} - Pas de bouclier
qstr_{s13}___Free|{s13} - Libre
qstr_{s10}___End_Order|{s10} - Fin d'ordre
qstr_{s11}___Skirmish|{s11} - Escarmouche
qstr_{s12}___Volley_Fire|{s12} - Volley Fire
qstr_{s13}___Brace_Polear|{s13} - Brace Polearms
qstr_DeathCam|VictimeCam
qstr_Camera|Caméra
qstr_Follow|Suivre
qstr_Free|Libre
qstr_Bet:|Pari:
qstr_Page_1__1_10_|Page 1 (1-10)
qstr_Page_2__11_20_|Page 2 (11-20)
qstr_Page_3__21_30_|Page 3 (21-30)
qstr_Page_4__31_40_|Page 4 (31-40)
qstr_TOURNAMENT_AWARDS|RÉCOMPENSES
qstr_{s25}^Swiftest_Cut^A|{s25}^Premier cut^Décernée à {s2}^+{reg1} d'XP^+{reg21} de renom^
qstr_{s25}^Fiercest_Compe|{s25}^Féroce compétiteur: {reg2}^Décernée à {s2}^+{reg1} d'XP^+{reg21} de renom^
qstr_{s25}^Dominant_Prese|{s25}^Présence dominante^Décernée à {s2}^+{reg1} d'XP^+{reg21} de renom^
qstr_{s25}^Legendary_Pres|{s25}^Présence légendaire^Décernée à {s2}^+{reg1} d'XP^+{reg21} de renom^
qstr_{s25}^Mythical_Prese|{s25}^Présence mythique^Décernée à {s2}^+{reg1} d'XP^+{reg21} de renom^
qstr_{s25}^Cautious_Appro|{s25}^Approche prudente^Décernée à {s2}^{reg21} de renom^
qstr_{s25}|{s25}
qstr_Slot|Emplacement
qstr_#|#
qstr_TROOP|TROUPE
qstr_ROUND_POINTS|POINTS DU TOUR
qstr_TOTAL_POINTS|TOTAL
qstr_Random_teams_and_siz|Équipes aléatoires
qstr_TOURNAMENT_WINNERS|GAGNANTS
qstr_1st|1e
qstr_Tournament_Awards|Récompenses
qstr_{reg5}_denars|{reg5} deniers
qstr_{reg6}_experience|{reg6} d'XP
qstr_{reg7}_renown|{reg7} de renommée
qstr_Tournament_Prizes|Prix
qstr_2nd|2e
qstr_3rd|3e
qstr_City_of_{s21}|Ville de {s21}
qstr_{reg21}%|{reg21}%
qstr_N/A|N/A
qstr_Army_size:_{reg26}|Taille d'armée: {reg26}
qstr_Commander_s_Army|Armée du commandant
qstr_Player_s_Kingdom|Royaume du joueur
qstr_Kingdom_of_Swadia|Royaume de Swadia
qstr_Kingdom_of_Vaegirs|Royaume Vaegir
qstr_Khergit_Khanate|Khergit Khanate
qstr_Kingdom_of_Nords|Royaume du Nord
qstr_Kingdom_of_Rhodoks|Royaume Rhodok
qstr_Sarranid_Sultanate|Sultanat Sarranide
qstr_DEBUG__KMT_:_Object_|DEBUG (KMT): Object clicked is {reg1}.  Value is {reg2}.
qstr_a_priest|Prêtre
qstr_an_acolyte|Acolyte
qstr_a_noble_in_training|En formation de noble
qstr_a_courtier|Courtier
qstr_a_mummer|Mime
qstr_a_preacher|Pasteur
qstr_a_mercenary|Mercenaire
qstr_a_bravo|Bravo
qstr_a_gladiator|Gladiateur
qstr_a_bandit|Bandit
qstr_a_slave_trader|Marchand d'esclaves
qstr_religious_fervor|Fervent religieux
