ip_mod_tips|Porady
ip_morale_text|Morale oznacza zdolność i gotowość żołnierzy w drużynie do wykazania się wytrzymałością, odwagą i dyscypliną, które są im niezbędne, by stawić czoła bitwie lub maszerować. Nie oznacza to szczęścia żołnierzy. Elitarne oddziały mogą narzekać na trudy kampanii, ale gdy zaczną latać strzały, stają do walki jak jeden mąż. Dowódca, dający swoim żołnierzom wszystko, czego chcą, może jednak stwierdzić, że stają się oni słabi i mało odporni na szarże wroga.^^ Morale ma największy wpływ na zachowanie się drużyny w czasie bitwy, określając poziom agresji, z jaką żołnierze nawiązują walkę z wrogiem oraz prawdopodobieństwo ich ucieczki, gdy dostrzegą, że szale bitwy przechylają się na ich niekorzyść. Morale ma także wpływ na tempo marszu drużyny. Słabiej zmotywowana drużyna porusza się wolniej, ponieważ ludzie nie zmuszają się do maksymalnego wysiłku i częściej się zatrzymują, czekając na maruderów. Drużyna o niskim morale cierpi w końcu z powodu dezerterów.^^ Niektóre z czynników, mających wpływ na morale, są oczywiste. Na przykład, charyzmatyczny dowódca, znany ze zwycięskich bitew, może dać swoim ludziom pewność siebie. Dowódcy, którzy zapewniają swoim ludziom wystarczającą ilość zróżnicowanej żywności i płacą im na czas, pokazują, że dbają o dobro swoich ludzi i nie są skłonni prowadzić ich na zgubę.^^ Inne czynniki są mniej oczywiste -- zwłaszcza te, związane z poczuciem grupowej spójności drużyny. Na przykład, w małych, zwartych drużynach ludzie często będą twardo walczyć w obliczu przeważającego wroga, aby uniknąć okazania się tchórzami w oczach swych towarzyszy broni. Spójność dużych drużyn może być z kolei mniejsza, ponieważ dowódca nie ma czasu, by nadzorować swoich ludzi, wysłuchiwać ich żalów i rozwiązywać spory. Częste bitwy wzmocnią więzi między ludźmi, natomiast długie okresy bez walki sprawią, że żołnierze zaczną się nudzić i staną się kłótliwi.^^ Raport o stanie morale, dostępny po naciśnięciu przycisku "Raporty", zapewnia informacje o czynnikach, które mają wpływ na poziom morale żołnierzy.
ip_economy|Ekonomia
ip_economy_text|Aby utrzymać dobre zdrowie ludności i produktywność, miasta i wioski w Calradii potrzebują dla swoich mieszkańców szerokiej gamy towarów. Najważniejsza jest żywność. Ziarno to podstawowe zboże Calradii, ale ludzie potrzebują też tłuszczu i protein w postaci mięsa, ryb lub sera. Przechowywanie jedzenia pochłania niemal tyle samo pracy, co jego wytwarzanie, w związku z tym jest duże zapotrzebowanie na sól. Następne po żywności są ubrania: ciężka wełna, lżejszy len i kosztowny aksamit. Ludzie potrzebują też narzędzi: tych z żelaza oraz garnków, wyrobów ze skóry i oczywiście broni, zbroi i koni bojowych.^^Większość produktów rolniczych wytwarzana jest w wioskach, natomiast rzemieślnicy w miastach specjalizują się w produkcji wyrobów z żelaza i tkanin. Ponadto w różnych częściach kraju można znaleźć inne zasoby. Kluczowy dla bogactwa Calradii jest w konsekwencji handel -- zarówno pomiędzy wioskami i miastami, jak i pomiędzy największymi miastami.^^Gdy handel się rozwija, towary są dostępne i przystępne cenowo, ludność zdrowa i pełna energii, a z sąsiednich terenów napływają imigranci. Stolica więcej wówczas produkuje, więcej zużywa oraz wnosi większy wkład z tytułu podatków. Gdy handel spowalnia, robotnicy z wiosek i miast zaczynają uciekać, szukając pracy gdzie indziej, a cała aktywność ekonomiczna zamiera. W interesie władców jest zatem chronienie szlaków handlowych przed niebezpieczeństwami wojen i bandytami. Sprytny kupiec może szukać miast, które zostały odizolowane od reszty kraju, ponieważ może osiągnąć spory zysk, wynikający z niestabilności cen.^^Ponieważ mieszkańcy wiosek zwykle zabierają swoje towary na rynki miast, wiejskie rynki zwykle są ciche, a wieśniacy kupują tanie przedmioty, swoje sprzedając drogo. Poważni, szukający zysku kupcy będą się trzymać miast, choć niektóre drużyny mogą decydować się na postój w jakiejś wsi w celu nabycia zapasów.^^Gracz, który chciałby poznać czynniki, wpływające na zamożność danego regionu, może porozmawiać na ten temat z mistrzem gildii w mieście. Inne informacje można otrzymać od przypadkowych przechodniów, choć mogą oni słabo się orientować w sprawach, które nie dotyczą ich branży.^^Gracze mogą wpływać na miejscową gospodarkę przede wszystkim poprzez ochronę handlu. Mogą również inwestować w przedsięwzięcia, takie jak stawy rybne, młyny lub garbarnie. Przyniesie to korzyści ludności, jak również zapewni mały zysk graczowi. Najbardziej dochodowe przedsięwzięcia to produkcja dóbr, których brakuje, ale do których produkcji surowce są jednocześnie tanie.
ip_courtship|Konkury
ip_courtship_text|Gracz może się stać członkiem jednej z możnych rodzin Calradii poprzez ślub. Małżeństwo nie jest konieczne, by gracz mógł zdobyć władzę i autorytet, ale zapewnia mu okazję do poprawy swych relacji z lordami oraz zgłaszania roszczeń do tronu.^^Wymogi ślubu są inne dla mężczyzn i kobiet. Mężczyzna musi zwykle podążać tradycyjną ścieżką konkurów. Powinien wyrobić sobie dobre imię w arystokratycznej społeczności Calradii, nawiązać dobre stosunki z rodzicami lub opiekunami panny młodej, a następnie zabiegać o jej względy zgodnie z miejscowym zwyczajem. W miarę, jak gracz zacznie się niecierpliwić, może spróbować pójść na skróty -- ma to jednak wpływ na relacje z innymi lordami.^^Mężczyzna powinien pamiętać, że inni lordowie będą z nim rywalizować o względy dam królestwa. Gusta kobiet są ponadto nieprzewidywalne i gracz może odkryć, że obiekt jego miłości wcale go nie kocha. Tak jak w innych miejscach, w Calradii nie zawsze jest miejsce na romanse. Oczywiście, gracz może się uciec do innych, mniej łagodnych sposobów zdobycia serca kobiety, ale, jak mówiliśmy, będzie to miało poważny wpływ na jego reputację.^^Aby wkroczyć na ścieżkę konkurów, mężczyzna powinien zaangażować się w życie społeczne calradiańskiej arystokracji, uczestnicząc w ucztach i turniejach. Wędrowni trubadurzy i poeci mogą ponadto służyć za przydatne źródła informacji o konkurach i zapewnić dostęp do najnowszych plotek.^^Bohaterowie-kobiety również mogą wstępować w związki małżeńskie -- ale powinny pamiętać, że społeczeństwo Calradii jest bardzo tradycyjne, a one, jako osoby poszukujące przygód, wybrały dla siebie niekonwencjonalną drogę życia. Kobieta może być zmuszona poświęcić chwilę na poszukiwania lorda, który ma dostatecznie otwarte poglądy, by ją poślubić.^^Na jej korzyść przemawia to, że nie musi przeprowadzać złożonych rytuałów zalotów oraz może zyskać na ślubie więcej niż małżonek. Dla kobiety-poszukiwacza przygód ślub jest szybką ścieżką do władzy -- a postać pozbawiona skrupułów może użyć swojego męża jako narzędzia do realizacji swoich ambicji politycznych.
ip_politics|Polityka
ip_politics_text|Wszystkie królestwa Calradii, choć reprezentują różne kultury, należą do tego samego, podstawowego systemu politycznego: feudalizmu. Feudalizm oparty jest na zależnościach pomiędzy osobami: przysiędze lojalności, składanej przez wasala swemu suzerenowi. W zamian za tę przysięgę, wasal otrzymuje zwykle lenno, obszar ziemi, z którego dochód będzie wykorzystywany przez wasala do zaciągu żołnierzy w celu wsparcia swego suzerena w czasie wojny. Na suzerenie spoczywa obowiązek ochrony swoich wasali oraz sprawiedliwego ich traktowania.^^Tak to przynajmniej działa w teorii. W praktyce, wasale nie zawsze działają na korzyść swojej frakcji, tym bardziej, że często się ze sobą kłócą. Możni mają różne osobowości i te osobowości czasami wchodzą ze sobą w konflikt. Dwóch możnowładców było niegdyś przyjaciółmi, ale pokłócili się ze sobą w wyniku jakiejś porażki lub może dlatego, że zabiegali o względy tej samej damy. Zazdrość pojawia się także, gdy zabiegają o względy króla -- być może o nowo zdobyte ziemie lub o to, kto otrzyma urząd marszałka, lorda dowodzącego dużymi kampaniami.^^Gdy jedno z królestw Calradii wypowiada wojnę drugiemu, polityczna jedność każdego z nich w równym stopniu decyduje o wyniku starcia, co wyszkolenie czy liczba żołnierzy. W zwartym królestwie, możni połączą się, tworząc dużą siłę, by wymieść przed sobą przeciwnika. W królestwie podzielonym drobnymi waśniami, lordowie mogą nie odpowiedzieć na wezwanie marszałka lub zająć się własnymi sprawami, gdy kampania nie będzie przebiegać zbyt dobrze. Polityczna spójność frakcji ma wpływ na wojnę także wtedy, gdy nie toczy się żadna kampania. W podzielonej frakcji lordowie będą mniej skłonni ruszyć na wyprawę lub patrol, albo pomagać sobie nawzajem w obronie.^^Jeśli prowadzenie sporów i kłótni, gdy wróg jest na horyzoncie, wydaje się lekkomyślne, pamiętaj, że każdy możnowładca jest przede wszystkim lojalny względem siebie i własnej rodziny, a nie frakcji czy kultury. Jeśli boi się, że jego frakcja upada lub jest ignorowany przez suzerena, znajduje zwykle powód, by wycofać swoją przysięgę i zmienić strony. Gracze powinni o tym pamiętać, ponieważ mogą nadarzać się okazje, by niezadowolonego przeciwnika zamienić w sojusznika.
ip_character_backgrounds|Historie postaci
ip_character_backgrounds_text|W Calradii postać gracza może wywodzić się z różnych środowisk. Wybór ten nie tylko ma wpływ na jego lub jej umiejętności początkowe i wyposażenie, ale także na przebieg kariery w roli poszukiwacza przygód.^^Wojną i polityką w Calradii tradycyjnie zajmują się możnowładcy. Gracz ze szlachty może dość szybko zostać zaproszony do "klubu chłopaków", natomiast kobiety i mieszczanie muszą pokonać kilka dodatkowych przeszkód. Jeśli postanowisz rozpocząć grę jako mężczyzna-szlachcic, możesz traktować to jako grę na łatwym poziomie trudności. Gra w roli kobiety-szlachcianki lub mężczyzny z gminu jest trudniejsza, a rola kobiety z ludu jest prawdopodobnie najtrudniejsza.^^Kobiety mają jednak na starcie kilka atutów. Wystarczy, że kobieta chwyci za broń, a od razu zacznie przyciągać uwagę. Może jej to pomóc w szybszym zdobyciu dobrej reputacji niż mężczyźnie. Kobietom jest także łatwiej niż mężczyznom wspiąć się po drabinie społecznej poprzez ślub, jak również mogą one więcej zyskać dzięki strategicznym sojuszom poprzez ślub, niż ich męskie odpowiedniki.^^Należy też pamiętać, że gra nie nakłada żadnych ograniczeń w kwestii zmiany statusu społecznego postaci, obojętnie z jakiego środowiska by nie pochodziła. Szlachcic czy mieszczanin, kobieta czy mężczyzna, po ślubie czy przed -- władcą Calradii może zostać każdy, pod warunkiem, że jest odważny, ma szczęście i jest pomysłowy.
ip_military_campaigns|Kampanie wojskowe
ip_military_campaigns_text|Gdy królestwa Calradii idą na wojnę, ich wojska dysponują dwiema podstawowymi opcjami ofensywnymi. Mogą atakować wioski, by pustoszyć ziemie wroga, niszcząc jego ekonomię i redukując prestiż, lub zdobywać zamki i miasta celem zajmowania terytoriów. Druga opcja wiąże się z długimi i krwawymi oblężeniami, ale daje bardziej wymierne rezultaty.^^Należy zauważyć, że królestwa Calradii nie mają stałych wojsk, mogących pozostać w polu tak długo, jak życzy sobie tego władca. Królestw bronią pospolite ruszenia, składające się z przedstawicieli możnej szlachty wraz z jej świtą. Baronowie czasem samowolnie wyprawiają się na wrogie terytoria, ale decydujące starcia zwykle odbywają się dopiero po zebraniu wielkich armii. Królewski marszałek, czyli szlachcic wyznaczony na stanowisko przez samego króla, ogłasza zbiórkę wojsk i przewodzi armii w boju. Musi jednak uważać, by zbyt długo nie trzymać wojsk poza domem. Jeśli tak się stanie, armia zacznie się rozpadać, a poszczególni wasale odchodzić, by zająć się własnymi sprawami. Pozostałe wojska mogą wtedy paść ofiarą kontrofensywy.^^Dlatego właśnie wojny w Calradii często przypominają pojedynek między dwoma szermierzami. Jedna ze stron zbiera siły, czekając na dogodny moment, by zadać cios w serce wrogiego terytorium. Jeśli marszałek zbierze zbyt mało wasali, może nie mieć dość sił, by wyrządzić wrogowi krzywdę. Jeśli zaś zadziała zbyt opieszale, kampania może się zakończyć, nim na dobre się rozpocznie. Duże królestwo będzie miało przewagę nad mniejszym tak, jak silniejszy szermierz ma zwykle przewagę nad drobniejszym. Innym istotnym czynnikiem jest polityczna spójność królestwa. Podobnie jest w przypadku szermierzy – ten, który posiada lepszą kondycję, może przeczekać swego przeciwnika. Czasami armie obu wrogów mogą się spotkać w wielkiej bitwie, w której decydująca okaże się liczebność i morale wojsk.^^Królestwa będą miały ograniczony dostęp do informacji o swych wrogach. Atakujący władcy muszą stale posyłać zwiady na terytorium wroga, by określić, które fortece są gorzej umocnione. Każda armia broniąca swojego terytorium może zaś skorzystać z alarmów wszczynanych przez zamki i miasta, które przekazują informacje o ruchach wrogich wojsk. Dane jednak mogą się okazać niedokładne, szczególnie w kwestii liczebności sił nieprzyjaciela. Wojsko wysłane z misją obronną może pokonać nieprzygotowanego agresora, ale równie dobrze może się przeliczyć i zostać pokonane. Atakujący muszą natomiast wykazywać się ostrożnością przy zagłębianiu się w terytorium wroga. Agresywni marszałkowi są gotowi pójść dalej niż ostrożniejsi.^^Od graczy będzie się oczekiwać dołączenia do militarnej kampanii swojej frakcji poprzez przyłączenie się do armii lub prowadzenie zwiadu na terenie wroga. Niektórzy gracze mogą uznać, że ich marszałek jest zbyt ostrożny lub zbyt agresywny. W takiej sytuacji, mogą intrygować z innymi baronami celem obalenia marszałka lub zbierać poparcie, by zająć jego miejsce.^^Większość wojen nie trwa długo. Król, który pójdzie na wojnę, dla zachowania honoru przez pewien czas będzie kontynuował konflikt. Jednakże, o ile nie pokonuje wyraźnie wroga, może zacząć wkrótce poszukiwać sposobu na zakończenie konfliktu, by nie odsłonić się na atak trzeciej siły. Władcy Calradii wiedzą doskonale, że dzisiejszy sojusznik jutro może stać się wrogiem, a dzisiejszy przeciwnik - przyjacielem.
ip_nobility_titles|Tytuły szlacheckie
ip_nobility_titles_text|Tytuły różnią się w zależności od królestwa, jednak najczęstszym jest:^King (panujący): ^  Rex, King, Velikiy Knyaz, Khan, Konungr, Doge, Sultan^^Książe (pan miasta): ^Książe, będący na czele księstwa, znajduje się szczebel niżej w hierarchii za królem. Tytuł pochodzi od łacińskiego zwrotu Dux Bellorum, terminem tym łacińscy pisarze określali germańskich i celtyckich przywódców wojennych. ^W średniowieczu książęta byli zarządcami prowincji i przełożonymi hrabiów^  Dux, Duke, Knyaz, Wang, Hertogi, Patrizio, Mushir^^Hrabia (pan zamku): ^Earl jest formą anglosaską a jarl skandynawską tytułu "wódz", który odnosi się do zastępowania króla w zarządzaniu określonym terenem. W średniowiecznej Skandynawii termin ten został zarzucony i zastąpiony terminem książe (hertig/hertug); w późnośredniowiecznej Brytanii, termin ten stał się znaczył tyle samo co kontynentalny hrabia.^  Comes, Count, Boyar, Noyan, Jarl, Conte, Quadi^^Baron (pan wioski): ^Słowo baron pochodzi z przyjętego przez starofrancuski i staroniemiecki łacińskiego zwrotu baro oznaczającego "(wolny) człowiek, (wolny) wojownik; słowo to połączyło się ze staroangielskim słowem beorn oznaczającym możnego.^  Baro, Baron, Posadnik, Darga, Hersir, Barone, Sheik^^Lord (możny bez ziemi): ^Etymologię słowa można wywieźć od staroangielskiego słowa 'hlaford', które oznaczało strażnika chleba.^  Dominus, Lord, Dvorianin, Taishi, Heera, Signore, Sayyid^^Żeńskimi odpowiednikami są (niezależnie czy posiadają ziemię same czy odziedziczyły po mężu):^Królowa: ^  Regina, Queen, Velikiy Knyaginya, Khathun, Drottning, Dogaressa, Sultana^^Księżna: ^  Ducessa, Duchess, Knyaginya, Wathun, Hertogafru, Patrizia, Mushira^^Hrabina: ^  Comitessa, Countess, Boiaryna, Nohi, Greifynja, Contessa, Qadiya^^Baronowa: ^  Baronessa, Baroness, Posadnitsa, Darthun, Baronsfru, Baronessa, Sheika^^Lady: ^  Domina, Lady, Dvorianska, Behi, Fru, Signora, Sayyida^^Dodatkowo nie zamężne, pozbawione ziemi niewiasty były nazywane:^  Magistra, Mistress, Mestari, Gongzhu, Mesterinde, Padrona, Maulana^^Tytuły pochodzą z łaciny, angielskiego, ruskiego, mongolskiego, chińskiego, staronormańskiego, włoskiego oraz arabskiego.^^Mongolskie tytuły powinny być poprzedzone imieniem. ^^Członkowie drużyny są określani mianem palatyna.^Członkowie Straży Cesarskiej byli tak nazywani od wzgórza Palatyn, legendarnego miejsca założenia Rzymu. Na tym samym wzgórzu żyli członkowie starszyzny dwóch szkół Salii, bractwa wyznawców boga wojny, Marsa, co jest symboliczne dla późniejszej nazwy straży imperialnej. ^Straż imperialna była osobistą armią cesarską, używaną w kampaniach. ^^Pozostali towarzysze, którzy nie byli wasalami, tytułowani byli jako bohaterowie, o ile nie mieli żadnej specjalności, jak na przykład^  Missi : dyplomata.^  Tassein : taktyk, inżynier, trener. Ausculare : mistrz poruszania się, znajdywania drogi, czytania ze śladów.^  Fisique : chirurg, pierwsza pomoc, leczenie ran.^  Empori : zarządzanie dobrami, handel.
ip_titles_suffix|Przydomki
ip_titles_suffix_text|W celu zaznaczenia relacji lorda lub lady z jego suzerenem, dodajemy do jego tytułu przyrostek (używając przyrostków łacińskich), od najgorszego do najlepszego:^  negatywne przyrostki: vindicta, ultio, invisus, dolor, fremo^  pozytywne przyrostki: consensio, faveo, pius, confero
ip_entrenchment|Szańce
ip_entrenchment_text|  Gdy Twoja armia rozbija obóz, masz możliwość oszańcowania okolicy obozu, wykorzystując przy tym ukształtowanie terenu. Armie konne zyskują minialne korzyści dzięki okopaniu się. Natomiast armie złożone z piechurów zyskają ogromną przewagę. Żołnierze niezbyt lubią kopanie dziur  i wznoszenie barykad, tak więc otrzymasz nieznaczną karę do morale.^^ Jeśli nie okopiesz okolicy okopu, będzie Ci o wiele trudniej ochronić obóz przed splądrowaniem w razie niespodziewanego nocnego ataku. Przedmioty z ekwipunku mogą zostać zniszczone lub ukradzione. Okopany obóz daje wojskom przewagę w postaci większej ilości amuncji. ^^  Aby okopać obóz potrzebujesz narzędzi, czasu i umiejętności. Narzędzia możesz nabyć w jednym z miast Calradii i trzymać w ekwipunku. Czas potrzebny na okopanie zależny jest od ilości żołnierzy oraz umiejętności inżynierii. Mała drużyna bez inżyniera potrzebuje dni na okopanie się, armia trzydziestoosobowa z kilkoma punktami umiejętności inżynierii może to zrobić w przeciągu kilku godzin.^^ Jak skończysz okopywanie się, mała obwódka z barykad otoczy namiot na mapie świata. Okopanie pozostanie na mapie przez około trzy dni po porzuceniu obozu, możesz zatem powracać w tym czasie do obozu, unikając czasochłonnego i męczącego żołnierzy okopywania.
