qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_High_serfdom_reduces_|Wysoki poziom poddaństwa zmniejsza szansę na bezskuteczne zbieranie podatków dla króla i jego wasali, którzy są w stanie utrzymać większe armie. Polityka ta niekorzystnie wpływa na morale żołnierzy.
qstr_{reg0}_denars|{reg0} denarów
qstr__Sovereignty_Relatio| Relacje między frakcjami 
qstr_Your_sovereignty|Twoje królestwo
qstr__Courtships_in_progr| Zaloty w toku   
qstr__Known_Lords_by_Rela| Relacje ze znanymi lordami 
qstr__Character_&_Compani| Postać i towarzysze 
qstr__Done_| Gotowe 
qstr_Your_supporters|Twoi stronnicy
qstr_Swadians|Swadianie
qstr_Vaegirs|Vaegirowie
qstr_Khergits|Khergici
qstr_Nords|Nordowie
qstr_Rhodoks|Rhodocy
qstr_Sarranids|Sarranidzi
qstr_All_Sovereignties|Wszystkie Królestwa
qstr__Back_to_shop_| Wróć do sklepu 
qstr_Strength|Siła
qstr_Riding|Koń
qstr_Pdraw|Naciąg
qstr_Pthrow|Rzut
qstr_1_hand|1-ręczne
qstr_2_hand|2-ręczne
qstr_Polearm|Drzewcowa
qstr_Archery|łucznictwo
qstr__X_bow_| Kusza 
qstr_Throwing_|Rzucanie 
qstr___Firearms|  Broń palna
qstr__Mode| Tryb
qstr__to_next_lvl_|(do następnego poziomu)
qstr__1.3_| 1.3 
qstr_If_you_can_see_this_|Jeśli to widzisz, kup nowego CPU.
qstr___Weapons_| -Bronie-
qstr___Armor_| -Zbroje-
qstr_________________n/a_|                n/a                
qstr_Rides|Jazda
qstr_Walks|Piechota
qstr_Startpage_set__Quick|Ustaw stronę startową (Szybki podgląd)
qstr_Back_to_shop|Wróć do sklepu
qstr__[?]_| [?] 
qstr_Hotkeys:^HOME_=_Set_|Skróty klawiszowe:^HOME = Ustaw stronę startową^RMB = Wróć do menu^ESCAPE = Podgląd^BACKSPACE = wróć do sklepu (jeśli odwiedzałeś)
qstr___Quit2__|- Quit2 -
qstr__Quick_View_| Szybki podgląd
qstr_______|      
qstr_Attributes|Atrybuty
qstr_Skills|Umiejętności
qstr_Proficiencies|Biegłości
qstr_STR:|SIŁ:
qstr_AGI:|ZRĘ:
qstr_INT:|INT:
qstr_CHA:|CHA:
qstr_Health:|Zdrowie:
qstr_Level:|Poziom:
qstr_To_next_lvl:_|Do następnego poziomu: 
qstr_Ironflesh^Power_Stri|Wytrzymałość^Siła uderzenia^Siła rzutu^Siła naciągu^Władanie bronią^Posługiwanie się tarczą^Atletyka^Jazda konna^Strzelanie z siodła^Zdobywanie łupów^Szkolenie^Tropienie^
qstr_Tactics^Path_finding|Taktyka^Orientacja w terenie^Spostrzegawczość^Zarządzanie ekwipunkiem^Leczenie ran^Chirurgia^Pierwsza pomoc^Inżynieria^Perswazja^Zarządzanie więźniami^Przywódctwo^Handel
qstr_10|10
qstr_One_Handed_Weapons:^|Broń jednoręczna:^^Broń dwuręczna:^^Broń drzewcowa:^^łucznictwo:^^Kusznictwo:^^Rzucanie:^^Broń palna:
qstr_350^^350^^350^^350^^|350^^350^^350^^350^^350^^350^^350
qstr__{reg1}_| {reg1} 
qstr__100%__| 100%  
qstr__30_| 30 
qstr__3333333333_| 3333333333 
qstr__Weapons_|-Bronie-
qstr__Armor_|-Zbroje-
qstr_n/a_________________|n/a                                
qstr_{s9}_feels...|{s9} czuje...
qstr_{s6}|{s6}
qstr_your_choice_of_compa|twój dobór towarzyszy,
qstr_{s7}|{s7}
qstr_your_style_of_leader|twój styl przywódctwa i...
qstr_{s8}|{s8}
qstr_the_general_state_of|ostatnie wydarzenia.^------------------------------
qstr_Morale:_____________|Morale:                       ^^Początkowe:          
qstr_State:______________|Państwa:                       
qstr_Startpage_set__Exten|Strona startowa (Widok rozszerzony)
qstr_How_will_your_male_v|Jak będą postrzegani wasale mężczyźni?
qstr_How_will_your_female|Jak będą postrzegani wasale kobiety?
qstr_Default_title.|Tytuł domyślny.
qstr_Set_Custom_Titles.|Zmień tytuł.
qstr_Use_fief_based_title|Nazwij lenna w oparciu o tytuły (domyślnie).
qstr_What_will_your_party|Jaką nazywę będzie nosić twoja drużyna?
qstr_By_the_name_entered_|Podałeś imię.
qstr_Simply_by_my_name:_{|Wystarczy moje imię: {s5}.
qstr__{s2}_siege_camp.| {s2} Obóz oblężniczy.
qstr__Continue_| Kontynuuj 
qstr_Manage_Ship|Zarządzaj statkiem
qstr_{s12}Cogs_are_large_|{s12} Kogi są dużymi żeglarskimi statkami z łukami i rufami zbudowanymi na wyższym poziomie niż reszta statku, w celu uformowania struktury tak jak zamku. Budowa ta z pomocą łuczników pozwalała statkowi efektywnie bronić się przed wrogiem.^^Kogi były pierwszym tego typem statkiem, który wykorzystywał nową ideę steru montowanego na kierownicy. Jednakże jest to nadal dość nowy pomysł, wiele Kog jest wciąż wyposażonych w wiosła sterowe, które były dobrze znane jako stery boczne. Wczesne Kogi nie były bardzo duże i miały otwarte kadłuby, które nie dawały dużych możliwości żeglowania.^^Obecnie kogi są wykorzystywane do żeglugi przez burzliwe wody, a ich kadłub jest zrobiony z klinkierowej konstrukcji, która zapewnia siłę i wytrzymałość. Kadłuby również zwiększyły swój rozmiar, ponieważ ewoluowały w duże przewoźniki ładunków. Kogi są statkami z płaskim dnem. Posiadają pręgi lub linie grzbietowe, które biegną wzdłuż niższej części statku.Cogs are large sailing ships with their bows and sterns built at a higher level than the rest of the ship in order to form a castle like structure,which is used to defend the ship from enemies using archers. The Cog was the first type of boat that used the new idea of a rudder mounted on the sternfor steering purpose. However as this is still a rather new idea, many cogs are still equipped with steering oars, which were also known as side rudders.The early cogs, weren't very large and had open hulls which didnt offer much sailing capability.^^Nowadays the cogs are used for sailing through rough waters and their hull is made from clinker construction, which provides them withadded strength and robustness. Their hulls also grew in size as they evolved into large cargo carriers.^^Cog are ships with flat bottoms. They have a ridge or keel that runs along the lower side of the ship. On both sides of the keel, thereis lapstrake planking, firmly fixed by iron nails. The stern and stern posts are both straight in shape and attached to the keel plateby means of hooks. The plank of the keel is thicker than the lapstrake and planking at the sites and moreover, the stern mounted centralrudder is an integral part of the cog construction. It is this design, that makes cogs more stable than any other type of ship.^^Generally built from oak wood, cogs have only a single long mast, which carries a massive square sail. The size of the sail depends on the size of the hull. This means that as the size of cog hull became bigger, the size of sails also increased. The only drawback of this constructionwas that it prevented sailing directly into the wind. However it facilitated the yacht so far, that it could be handled by a small crew,reducing the overall operational cost.
qstr_Select_ship:|Wybierz statek:
qstr_Name_your_ship:|Nazwij swój statek:
qstr_Rename_Ship.|Zmień nazwę statku.
qstr_Send_ship_to_port:|Wyślij statek do portu:
qstr_Verify.|Weryfikuj.
qstr_Manage_the_crew.|Zarządzaj załogą.
qstr_View_the_ship_regist|Zobacz rejestr statków.
qstr_This_is_your_ship__{|To jest twój statek '{s13}'. Załoga składa się z {reg7} ludzi.^^
qstr_Make_sure_you_select|Upewnij się, że zaznaczyłeś statek.
qstr_Your_ship_{s15}_succ|Twój statek {s15} pomyślnie skierował żagle w stronę {s16}.
qstr_Make_sure_a_ship_is_|Upewnij się, czy wybrany statek ma wystarczającą ilość załogi i czy w miejscowości docelowej jest miejsce na inny statek.
qstr_This_area_of_{s1}_ca|Ten obszar {s1} najlepiej opisać jako samo serce tętniącego życiem miasta^^ Możesz niemal zobaczyć sznur pieniędzy, które wciąż przychodzą i odchodzą nie zatrzymując się ani na chwilę. Możesz kupić tu ziemię, która jest uprawiana poza bramami miasta i korzystać z nich ciężko pracując. Oczywiście możesz nie mieć wystarczającej ilości denarów, ale Lichwiarze napewno znajdą dla ciebie ofertę, która pomoże ci to zmienić.
qstr_{reg1}_people_live_i|{reg1} ludzie żyjący w {s1}. W chwili obecnej {reg2} akrów dostępnych pod uprawy zapewnia im pożywienia i zaopatruje w inne dobra naturalne. Jesteś właścicielem {reg3} akrów ziemi w tym mieście. Aktualniy poziom zadłużenia u Lichwiarzy wynosi {s1} {reg4} denarów. Stopa oprocentowania wynosi 20%. Czas na spłatę długu to 2 tygodnie. Jeśli nie uda ci się spłacić długu przed upływem określonego terminu, stopa oprocentowania wzrośnie do 40%. Cena kupna posiadanych akrów ziemi to {reg9} denarów, a cena sprzedaży to {reg10} denarów. Budowa nowych wymaga {reg11} denarów. Czynsz dla właścicieli ziemskich wynosi obecnie {reg13} denarów na akr. Czynsz zbierany jest co dwa tygodnie w mieście. Ziemia nie będzie wynajmowana, w czasie gdy miasto jest dobrze zaopatrzone.
qstr_Choose_how_many_acre|Wybierz ile akrów chcesz sprzedać :
qstr_Choose_how_many_acres|Wybierz ile akrów chcesz kupić :
qstr_Verify|Weryfikuj
qstr_Choose_how_much_mone|Wybierz ile pieniędzy chcesz pożyczyć :
qstr_Buy_and_prepare_uncu|Kup i przygotuj ziemie pod uprawę :
qstr_Pay_off_your_debt_:|Spłać dług :
qstr_{reg5}|{reg5}
qstr_You_cant_sell_0_acre|Nie możesz sprzedać 0 akrów ziemi.
qstr_You_cant_buy_0_acres|Nie możesz kupić 0 akrów ziemi
qstr_{reg6}|{reg6}
qstr_You_cant_borrow_0_de|Nie możesz pożyczyć 0 denarów.
qstr_{reg7}|{reg7}
qstr_{reg8}|{reg8}
qstr_You_cant_pay_back_0_|Nie możesz spłacić 0 denarów.
qstr_Town|Miasto
qstr_Acres|Akry
qstr_Owned|Własność
qstr_Balance|Saldo
qstr_Assets|Majątek
qstr_Debt|Dług
qstr_Deadline|Termin ostateczny
qstr_{reg2}|{reg2}
qstr_{reg3}|{reg3}
qstr_{reg4}|{reg4}
qstr_Merchant_Ledger|Księga handlowa
qstr_____Assessed_Profit_|    Ocenisza zyski i notujesz je tutaj
qstr_{s0}_products_from_{|{s0}, produkty z {s1}:
qstr_^{s1}_sold_in_{s2}_w|^{s1} sprzedane w {s2} wygenerują zyski wielkości {reg0} denarów.{s3}
qstr___Assessed_Profit_by|  Oceniasz zyski na dłuższy ores czasu
qstr_^{s1}_sold_in_{s2}_wo|^{s1} sprzedane w {s2} wygenerują zyski wielkości {reg0} denarów (z {s0}).{s3}
qstr_Production_in_{s1}|Produkcja w {s1}
qstr_Assessed_Profit_by_T|Oceniasz zystki na podstawie produkcji w mieście
qstr_^{s1}_purchased_in_{|^{s1} zakupione w {s2} wygenerują zyski wielkości {reg0} denarów (z {s0}).{s3}
qstr_Demand_in_{s1}|Popyt w {s1}
qstr_Assessed_Profit_by_To|Oceniasz zyski na podstawie potrzeb miasta
qstr_^Buy_in:_{s1}___sell|^kupione w: {s1} - sprzedane w: {s2} do {reg0} denarów zysku (z {s0}).{s3}
qstr_Supply_and_Demand_of|Podaż i popyt na {s1}
qstr_____Assessed_Profit_b|    Oceniasz zyski dbór handlowych
qstr_Trim_ledger_entries_|Ustaw widok wpisów księgi starsze niż:               dni:
qstr_Remove_entries.|Usuń wpisy.
qstr_Trim_ledger_entries_c|Ustaw widok wpisów księgi wg. dóbr handlowych:
qstr_Use_slider_to_choose|Użyj suwaka, aby wybrać pozycję
qstr_Trim_ledger_entries_f|Ustaw widok wpisów księgi wg. dóbr handlowych związanych z tym miastem:
qstr_Use_slider_to_choose_|Użyj suwaka, aby wybrać miasto
qstr_Remove_entries__Prod|Usuń wpisy (Produkcja).
qstr_Remove_entries__Dema|Usuń wpisy (Popyt).
qstr_Trim_ledger_entries_w|Ustaw widok wpisów księgi wg. wartości:              denarów zysku:
qstr_Ask_about_the_potent|Zapytaj o potencjalny zysk z następujących przedmiotów^    za każdym razem oceń ceny w rynku:
qstr____________Log_Entry|           Opcje rejestru wpisów
qstr_Add_Note|Dodaj notatkę
qstr_Clear_Notes|Wyczyść notatkę
qstr_Use_a_/\__caret__for|Użyj / \ (daszek) na końcu wiersza.
qstr_Chronological_Log|Chronologiczny Rejestr
qstr_Production_Towns|Miasta produkcyjne
qstr_Purchasing_Towns|Miasta kupujące
